Site Name,Images Without Alt Text,Total Image Files,All Media Files
accessibility,19,19,19
african,0,12,24
afx,57,58,77
ala,1317,1450,1500
archives,947,1006,1108
arlis,11,11,11
arx,98,109,171
ask-us,0,1,1
bhrsc,32,39,101
biology,7,14,14
bios,0,0,0
bis,59,77,80
born-digital,2,2,2
borrowing,0,2,8
chinese,0,20,26
chx,8,31,200
collections,1048,1115,1136
collections-care,3,7,12
commedia,82,140,159
committees,5,5,1693
conservation,49,49,49
cpla,18,29,38
deia,20,20,20
digital-preservation,2,2,2
digital-strategies,2,2,2
digitization-services,27,28,30
education-training,2,4,5
employees,2,3,3
enx,318,416,441
funkaces,405,426,624
geninfo,185,744,773
geology,1,3,3
global,1,21,21
govinfo,25,48,51
helios,2,3,4
hpnl,284,430,590
ias,537,1539,1656
ihx,31,46,49
illinoisnewspaperproject,142,385,394
infosci,1,4,5
interlibrary-loan,0,0,0
japanese,0,24,24
korean,0,16,16
latin-american,1,30,34
latinx-studies,4,4,4
leitc,36,38,38
library-technology,31,49,49
litlang,48,63,63
mainstacks,20,24,24
mappinghistory,797,797,812
max,78,108,110
mbh,14,15,15
mc,34,275,279
media-preservation,31,33,37
middle-east,0,16,16
mortenson,617,766,1057
mtx,102,376,422
mux,143,301,365
ncte,3,240,254
oak,0,2,18
phx,2,2,2
popculture,9,9,9
preservation,11,16,38
preservation-reformatting,63,63,63
rbx,872,924,960
rds,38,56,68
researchdataservice,45,56,62
rex,17,29,111
s-collection,4,4,6
sc,56,124,166
scholarlycommons,168,245,256
scholarlycommunications,19,51,53
scp,48,63,79
slavic,368,1335,1387
slc,1656,2154,2235
sousa,413,426,436
south-asia,2,28,28
sshel,25,86,123
staff,643,1306,3842
test-site-1,7,10,11
test-site-2,1,1,1
test-site-3,2,2,2
tlas,97,105,112
ugl,562,681,878
uni,261,282,308
vex,6,13,15
wp-training,149,190,203
TOTAL,13252,19758,26193
